"soc","ocv_v","r0_ohm","r1_ohm","c1_f","r2_ohm","c2_f"
"0.37","3.64688282286357","0.000739096549977545","0.000798636576541942","47595.5852889835","0.00379991097153488","181001.425908127"
"0.39","3.66179969647639","0.000731506839426762","0.000800082298236685","47663.1884460208","0.00380288611435547","180792.717422538"
"0.41","3.67635002173892","0.000726048522770127","0.00080464906635112","47709.3982705785","0.0038050583023054","180656.812674378"
"0.43","3.69125693001572","0.000722603918267012","0.000812391268428313","47734.8212616215","0.00380645965518094","180593.534474034"
"0.45","3.70709775224697","0.000720963172933616","0.00082287143198409","47738.6637870503","0.00380705041470383","180607.045798577"
"0.47","3.72420839853384","0.000720684281786471","0.000834697732038499","47720.8916403943","0.00380685059616564","180698.190327752"
"0.49","3.74257189171951","0.000720992998887647","0.000845228713268269","47688.3622691475","0.00380605305821608","180843.143032574"
"0.51","3.76176547524854","0.000720931822457696","0.000851202038130885","47658.1249086813","0.00380509598757974","180982.400051698"
"0.53","3.78107191613922","0.0007198559312528","0.000850518954796463","47649.3672116467","0.00380449788119143","181049.087149044"
"0.55","3.79976204933594","0.000717889975614949","0.000843830556793429","47667.4111928059","0.00380443659653293","181023.817793251"
"0.57","3.81740818041937","0.000715847254043217","0.000834180855639332","47699.5547329374","0.00380463790199185","180949.098977781"
"0.59","3.83409665545767","0.000714751821849306","0.00082524904780358","47725.2170891162","0.00380454062850494","180895.625062814"
"0.61","3.8505947947497","0.000715557020836361","0.000820291360124275","47721.4705088699","0.00380338481411087","180944.048295461"
"0.63","3.86858240751828","0.000719296347091339","0.000822132719834175","47660.4059292395","0.00380026885722157","181193.614656751"
"0.65","3.89021365302909","0.0007265148661158","0.000830560654099194","47537.201149615","0.00379513084932137","181662.944091463"
"0.67","3.91503519624968","0.000734029462600772","0.000835983616353289","47471.2576781176","0.0037921541009397","181945.018857087"
"0.69","3.93860819223514","0.000738715393623444","0.000833072609210056","47554.3529000206","0.00379385238201091","181723.143606036"
"0.71","3.9588180398909","0.000744533093234886","0.000831978442365533","47641.3409296434","0.00379534822185155","181480.3505962"
"0.73","3.97724797113932","0.000753802970930303","0.000836961630799436","47654.7956970508","0.00379448304463248","181484.703684963"
"0.75","3.99557731590755","0.000765935921928575","0.000845445020633468","47611.6947877797","0.00379177372855718","181683.248565107"
"0.77","4.01446314144331","0.000779936984043302","0.000853770976530063","47538.2327731424","0.00378793232041218","181987.348549106"
"0.79","4.03373497919766","0.000794741547326169","0.000857796200185002","47459.339569743","0.00378353762283515","182311.272707511"
"0.81","4.05256870598302","0.000809173673323847","0.000852924522527015","47403.2449530342","0.00377915426718807","182558.16344452"
"0.83","4.06961445543956","0.000822443708390298","0.000835827091612573","47389.9548340041","0.00377522453516493","182658.048492964"
"0.85","4.08332507136014","0.000835183908305804","0.00080770449424894","47409.8828007284","0.00377187571381209","182637.777638068"
"0.87","4.09267232215929","0.000850110304962394","0.000776406027661828","47430.3643727444","0.00376915927205003","182601.667027084"
"0.89","4.09814272729052","0.000870684854470512","0.000754569816998108","47435.447086844","0.00376770644120616","182603.909029492"
"0.91","4.10239653191087","0.000902164992371114","0.000755161591104102","47435.8996906082","0.00376731552895611","182617.754583962"
"0.93","4.10974524095501","0.000949073328409171","0.000787994588994653","47359.6161325972","0.00376542525229318","182898.636412688"
"0.95","4.12427227514884","0.00101446881986661","0.000855797041716278","46954.5580017307","0.0037630732814153","184275.54177342"
"0.97","4.15051946505461","0.000954497328541097","0.000658694573709111","56989.5587685577","0.0259052047381342","224324.960039876"
"0.99","4.17656966715141","0.000938535596028445","0.000442809019851122","43467.8333363659","0.000921634180181092","185868.504144969"
